id,y_2011,y_2012,y_2013,y_2014
0,199667.85,199667.85,189364.28,181060.71
1,218388.33,217920.33,217259.66,217705.33
2,90897.59,90215.46,89115.8,88524.74
3,100416.79,100225.32,99994.05,99567.7
4,164454.31,165919.41,167095.88,176485.29
5,120527.39,120358.91,120093.43,119671.66
6,109329.9,108410.28,107789.71,100558.41
7,84266.74,84390.12,83345.06,83844.33
8,55087.27,54890.38,54803.37,54790.64
9,102526.28,102229.9,101751.35,95928.39
10,105227.29,104927.58,104554.31,93088.79
11,98317.25,97765.22,97164.42,89174.66
12,114975.07,114458.55,114268.4,109111.3
13,177420.33,176890.67,177543.22,177627.96
14,131481.57,131317.1,132264.47,133305.26
15,150320.83,158820.83,158820.83,158279.16
16,251463.47,253038.62,247729.94,246266.16
17,198261.51,198313.2,198197.19,198589.88
18,220585.71,221939.45,223665.53,228455.78
19,197473.31,197975.65,198188.26,199018.47
20,163330.31,163333,177019.8,165712.95
21,123020.24,125075.7,125535.62,127268.82
22,177119.12,179869.67,182124.83,182331.2
23,154541.05,154215.04,153966.26,153608.53
24,188029.52,190933.74,194764.26,195253.34
25,220997.52,230002.06,236651.65,243542.14
26,356814.55,361712.02,369880.37,383128.79
27,151170.8,151620.46,151060.73,152564.76
28,121814.28,121634.66,121257.14,117462.39
29,136064.72,137519.96,137206.39,136396.7
30,114747.77,114782.66,114803.74,114654.33
31,122616.95,122441.52,118159.13,118414.34
32,113320.6,113275.67,112385.13,112702.7
33,135259.28,136186.57,135287.24,134876.28
34,97605.45,97428.09,95825.99,95489.09
35,132283.12,132536.72,132728.28,132464.51
36,122548.37,123076.55,122768.32,122399
37,129165.17,129307.93,129434.48,128588.62
38,90488.85,100062.39,126109.19,141305.01
39,204961.66,204862.45,204422.13,207409.48
40,123756.53,123807.18,123861.11,123716.99
41,213488.72,220754,223833.53,225210.38
42,191462.98,190426.51,190276.79,188874.58
43,93070.78,92908.81,92739.04,92564.48
44,136882.84,136854.16,136813.48,136807.35
45,105438.54,105373.95,105908.85,105728.64
46,114050.25,113568.91,113277.72,113549.74
47,102158.76,102042.58,101858.18,101933.91
48,107959.17,108095.5,108126.96,107920.22
49,151106.72,151252.1,151049.57,150417.22
50,119274.8,119337.79,119422.04,119113.38
51,92863.76,98455.79,99377.53,99386.23
52,203094.14,208223.86,220235.14,241657.04
53,120593.76,120735.82,120172.58,116600.93
54,82468.27,82140.16,81958.63,81103.61
55,245264.12,245532.67,247701.22,249293.12
56,97665.45,97430.18,97388,94919.27
57,227407.78,223497.81,220959.81,222807.78
58,361111.33,368436.62,378197.09,381484.59
59,190255.7,190119.51,189822.36,191027.85
60,392497.08,393954.36,398319.9,402369.41
61,270793.87,276809.62,319607.28,289294.75
62,413258.54,412880.39,411171.98,412336.97
63,256434,261234,264354,286732
64,283505.8,283677.17,284764.73,284790.04
65,178580.37,179169.15,180696.26,176414.01
66,104496.98,104412.25,104463.65,101563.44
67,229576.92,230376.92,231345,232133.07
68,108621.12,108406.58,108222.48,108193.02
69,104715.14,104411.4,104081.3,103573.45
70,161150.54,161180.49,160108.79,159210.71
71,108047.72,107721.58,107673.06,107692.27
72,120500.36,120523.72,120449.63,120526.27
73,140707.29,140507.59,140813.37,141016.41
74,137987.2,138525.6,138481.2,138589.2
