id,y_2011,y_2012,y_2013,y_2014
0,8,11,9,9
1,13,37,36,37
2,5,6,11,3
3,2,9,2,1
4,26,28,65,48
5,3,3,8,14
6,2,2,4,1
7,24,8,28,57
8,1,7,14,4
9,2,8,1,3
10,8,3,3,4
11,5,7,13,10
12,7,19,8,4
13,6,24,18,17
14,7,2,13,8
15,7,11,19,23
16,33,30,14,15
17,5,18,10,17
18,25,41,85,74
19,6,7,7,10
20,4,5,3,3
21,28,26,44,47
22,30,21,28,21
23,7,4,13,5
24,29,30,11,19
25,84,142,233,319
26,23,34,52,55
27,19,21,28,20
28,14,27,14,14
29,30,40,24,25
30,6,11,10,8
31,8,6,8,7
32,3,4,2,6
33,16,12,15,16
34,7,3,9,5
35,7,5,2,4
36,29,24,23,14
37,3,1,3,3
38,102,199,125,150
39,73,51,69,73
40,20,16,7,16
41,36,127,44,53
42,10,10,14,10
43,2,1,2,5
44,1,11,9,8
45,2,9,2,6
46,6,7,5,11
47,11,19,6,9
48,17,18,16,18
49,12,20,12,8
50,6,8,7,13
51,28,15,22,27
52,78,99,126,92
53,2,7,2,3
54,50,36,35,32
55,8,8,13,7
56,4,10,22,10
57,16,122,72,13
58,45,41,16,10
59,3,4,10,6
60,11,18,19,10
61,28,12,59,79
62,14,21,25,8
63,8,13,13,3
64,3,7,6,8
65,7,4,2,3
66,7,8,7,5
67,8,3,3,3
68,7,5,12,5
69,5,6,6,10
70,5,13,11,12
71,5,12,13,14
72,3,6,4,1
73,4,4,6,4
74,2,5,2,4
75,7,3,5,1
76,19,23,18,16
77,2,5,9,8
78,6,10,6,7
79,16,9,18,14
80,14,22,13,31
81,29,12,20,16
82,13,24,19,19
83,13,11,20,20
84,6,4,5,5
85,6,7,10,5
86,14,27,18,11
87,13,18,16,22
88,1,5,10,6
89,0,4,2,3
90,2,5,23,11
91,10,6,4,2
92,8,14,8,24
93,2,3,3,5
94,1,4,9,5
95,16,11,6,6
96,2,1,4,4
97,3,2,0,0
98,2,14,9,4
99,4,5,7,21
100,5,4,10,3
101,13,7,6,5
102,4,6,7,9
103,5,6,2,4
104,7,8,8,9
105,9,4,7,10
106,4,5,4,3
107,1,1,1,3
108,59,70,61,121
109,4,5,9,3
110,1,8,3,9
111,44,60,52,44
112,5,6,3,5
113,22,17,21,6
114,2,9,5,3
115,2,10,5,6
116,8,8,5,1
117,16,19,13,26
118,72,80,103,66
119,12,9,1,8
120,5,6,1,5
121,14,21,11,13
122,7,14,9,7
123,24,16,18,71
124,10,14,15,19
125,12,8,7,7
126,32,27,21,17
127,17,14,18,16
128,11,12,9,10
129,19,15,24,23
130,16,28,26,33
131,32,24,33,14
132,22,15,15,22
133,19,13,20,23
134,49,119,96,79
135,12,15,12,26
136,11,14,15,14
137,6,16,5,12
138,25,37,26,37
139,73,93,74,78
140,7,13,11,10
141,31,73,57,74
142,14,45,37,47
143,7,6,3,8
144,32,24,34,13
145,19,21,37,18
146,11,15,17,27
147,2,4,2,5
148,60,72,89,80
149,6,12,25,11
150,23,54,52,47
151,41,27,31,17
152,8,10,16,12
153,7,8,3,9
154,27,43,34,33
155,27,16,33,23
156,19,21,19,32
157,24,34,36,26
158,34,29,34,58
159,16,28,17,13
160,7,6,4,2
161,6,8,10,14
162,4,2,7,1
163,6,8,15,12
164,9,13,12,13
165,7,16,15,14
166,7,4,8,4
167,2,7,7,3
168,51,70,53,34
169,5,25,23,12
170,2,3,1,5
171,25,50,75,52
172,12,14,9,6
173,119,202,126,84
174,1,7,91,60
175,10,18,22,17
176,10,5,18,25
177,4,6,5,8
178,24,14,26,14
179,12,14,18,12
180,13,15,12,10
181,5,6,14,13
182,6,6,7,3
183,18,25,22,15
184,33,35,136,162
185,7,8,7,6
186,23,44,24,39
187,1,2,5,5
188,2,6,15,6
189,13,29,12,17
190,0,5,4,0
191,7,12,9,6
192,20,22,7,28
193,8,4,9,10
194,21,24,15,10
195,6,18,20,17
196,17,15,13,18
197,2,4,5,2
198,5,13,12,8
199,6,5,5,6
200,5,0,8,7
201,15,10,10,21
202,15,12,17,16
203,13,17,10,19
204,24,20,21,26
205,8,5,5,7
206,22,20,29,20
207,61,62,43,38
208,6,5,9,67
209,19,22,18,23
210,3,8,6,23
211,5,4,14,4
212,4,9,6,9
213,15,8,16,25
214,8,15,8,12
215,10,8,9,21
216,21,35,27,32
217,16,20,19,16
218,35,26,18,27
219,23,16,27,14
220,16,21,17,14
221,23,20,17,24
222,23,20,22,27
223,14,11,9,8
224,25,30,21,24
225,68,61,70,47
226,14,20,25,14
227,16,26,20,17
228,6,14,5,5
229,4,7,4,4
230,7,9,8,13
231,10,8,8,7
232,4,10,7,7
233,19,32,15,23
234,2,7,12,9
235,8,5,4,11
236,5,4,4,7
237,4,4,7,3
238,9,9,9,7
239,15,6,10,6
240,4,3,7,9
241,4,3,14,5
242,6,0,7,4
243,3,18,10,8
244,19,16,22,20
245,7,6,14,7
246,5,11,6,10
247,25,15,28,12
248,9,26,21,10
249,7,6,11,7
250,4,9,9,18
251,13,7,10,6
252,8,10,22,10
253,3,4,5,2
254,8,32,21,15
255,0,2,5,4
256,16,17,32,29
257,32,50,66,42
258,15,50,48,71
259,23,21,18,31
260,9,6,6,4
261,45,41,58,61
262,81,79,61,23
263,35,27,40,36
264,32,34,37,28
265,10,14,15,12
266,153,92,73,35
267,9,10,9,16
268,24,38,51,56
269,18,20,18,18
270,11,12,12,17
271,28,36,47,40
272,35,39,38,30
273,68,118,90,61
274,22,36,41,34
275,21,45,34,14
276,21,45,29,40
277,22,37,51,29
278,51,50,51,34
279,61,59,29,21
280,18,31,30,27
281,19,28,33,12
282,18,16,21,21
283,35,30,47,21
284,5,2,10,4
285,16,10,17,16
286,4,1,3,3
287,141,184,184,151
288,57,83,90,64
289,12,17,18,15
290,106,71,46,36
