id,y_2011,y_2012,y_2013,y_2014
0,2,1,1,0
1,0,3,1,12
2,41,53,36,36
3,31,13,28,20
4,6,6,2,6
5,17,1,1,7
6,2,2,3,2
7,42,21,17,30
8,17,31,111,30
9,9,8,3,10
10,21,10,2,5
11,29,7,19,21
12,18,21,19,5
13,5,1,1,1
14,0,0,1,0
15,4,0,2,1
16,0,2,0,0
17,1,0,0,1
18,1,0,1,3
19,52,7,4,0
20,14,51,2,4
21,7,3,2,8
22,1,0,2,2
23,3,0,6,1
24,16,12,0,3
25,0,1,1,0
26,0,0,0,2
27,7,3,5,4
28,4,6,4,2
29,9,18,35,6
30,10,36,15,28
31,5,18,7,5
32,14,5,16,10
33,10,15,8,16
34,5,27,6,10
35,7,33,2,2
36,4,4,2,2
37,7,7,0,1
38,10,6,5,2
39,14,0,4,8
40,2,15,13,21
41,0,0,0,0
42,2,1,2,3
43,23,23,34,29
44,11,7,3,3
45,28,10,10,17
46,6,2,6,1
47,13,10,12,27
48,10,6,1,6
49,16,6,17,6
50,14,1,4,3
51,2,8,4,7
52,2,2,1,2
53,0,5,0,5
54,12,61,38,9
55,1,2,6,13
56,10,15,6,8
57,0,0,0,0
58,1,0,4,0
59,0,7,4,3
60,0,0,1,0
61,23,8,1,3
62,1,1,1,3
63,4,1,2,0
64,1,0,1,1
65,0,1,1,8
66,27,25,7,59
67,1,1,3,0
68,7,4,1,2
69,5,2,7,15
70,4,9,2,0
71,25,8,3,10
72,22,48,37,31
73,8,5,7,8
74,3,36,8,20
75,13,2,7,2
76,17,40,24,21
77,5,5,12,4
78,2,0,1,5
79,1,1,0,2
80,11,21,19,20
81,4,9,21,15
82,14,12,18,28
83,0,0,0,4
84,23,4,1,2
85,32,15,1,4
86,4,6,8,4
87,0,0,1,0
88,0,0,1,0
89,0,2,0,1
90,28,1,10,10
91,29,1,5,0
92,0,0,0,0
93,1,0,1,37
94,3,1,1,20
95,0,1,0,0
96,2,3,4,25
97,8,7,5,13
98,8,16,35,82
99,1,2,0,32
100,14,46,91,27
101,9,11,10,8
102,10,3,9,7
103,0,2,0,0
104,0,0,1,0
105,8,2,7,12
106,49,11,28,21
107,1,3,0,4
108,6,15,10,15
109,123,6,9,2
110,40,35,5,5
111,4,6,4,5
112,4,33,8,6
113,1,8,16,17
114,8,23,4,4
115,4,9,8,4
116,14,12,12,5
117,6,4,6,10
118,21,27,6,16
119,10,1,0,7
120,8,3,2,3
121,0,0,0,0
122,20,15,3,18
123,16,9,10,6
124,43,70,12,34
125,20,19,5,4
126,41,31,16,14
127,7,36,58,36
128,32,5,11,8
129,12,17,52,7
130,15,13,29,56
131,8,18,7,11
132,47,13,8,18
133,39,9,3,11
134,17,18,19,18
135,48,22,61,15
136,95,21,31,32
137,89,10,11,35
138,41,25,43,22
139,10,5,13,2
140,18,6,2,5
141,31,19,15,28
142,15,32,90,22
143,13,12,5,13
144,92,31,22,24
145,20,20,8,2
146,42,18,8,18
147,4,5,1,3
148,56,20,8,19
149,42,16,13,16
150,44,30,23,28
151,62,26,31,30
152,13,7,0,1
153,22,6,1,4
154,45,7,7,5
155,25,4,24,9
156,18,1,6,1
157,93,16,9,12
158,44,21,31,7
159,66,28,9,2
160,6,9,8,11
161,5,1,0,1
162,7,9,1,33
163,0,0,1,0
164,1,2,0,6
165,0,2,0,0
166,7,22,2,2
167,5,8,2,3
168,2,0,0,0
169,1,0,0,2
170,1,4,0,0
171,0,1,0,0
172,6,3,1,1
173,0,1,0,4
174,14,98,8,11
175,1,0,1,1
176,9,2,1,0
177,4,6,5,0
178,0,0,0,0
179,3,1,0,6
180,17,26,0,3
181,2,1,0,1
182,6,5,3,5
183,5,4,3,5
184,2,2,0,4
185,67,2,1,1
186,19,39,12,4
187,19,8,6,1
188,50,19,10,8
189,35,23,17,10
190,1,1,0,5
191,5,4,4,10
192,9,3,2,10
193,13,3,0,1
194,7,5,2,3
195,29,2,16,2
196,18,2,1,3
197,4,1,2,4
198,10,27,46,42
199,5,7,3,8
200,3,3,6,4
201,51,32,33,28
202,3,2,5,2
203,1,2,11,1
204,4,3,0,3
205,6,3,4,1
206,41,3,1,0
207,2,1,1,0
208,3,3,4,1
209,14,16,31,40
210,2,0,4,2
211,1,0,0,2
212,21,31,15,7
213,43,79,41,26
214,26,8,0,7
215,30,10,10,4
216,36,19,15,17
217,31,26,9,5
218,82,36,12,20
219,6,12,14,14
220,61,18,10,20
221,51,54,27,35
222,15,58,13,17
223,23,18,10,13
224,108,127,102,31
225,34,31,71,27
226,87,16,76,74
227,147,39,23,21
228,0,1,3,0
229,1,0,0,1
230,2,2,0,7
231,0,0,1,0
232,0,58,4,0
233,19,3,3,0
234,0,2,0,0
235,0,26,1,0
236,2,2,1,2
237,3,6,9,2
238,0,1,3,2
239,91,0,4,2
240,0,1,0,10
241,0,19,0,8
242,6,32,6,1
243,1,2,0,0
244,1,1,5,2
245,3,2,0,2
246,0,1,4,2
247,0,4,2,9
248,0,0,0,2
249,2,2,10,19
250,51,36,22,37
251,13,29,10,6
252,13,28,3,20
253,7,14,2,12
254,100,24,42,31
255,29,14,19,22
256,7,2,3,3
257,5,1,2,3
258,5,1,4,3
259,4,3,2,0
260,17,0,3,3
261,155,128,70,86
262,34,18,22,21
263,252,94,119,83
264,63,56,28,22
265,33,6,4,1
266,1,1,0,3
267,0,0,0,2
268,3,1,1,0
269,24,5,11,7
270,13,112,8,25
271,59,8,22,27
272,48,30,28,21
273,34,11,10,9
274,65,33,26,19
275,76,55,69,34
276,22,11,27,19
277,119,54,59,61
278,158,81,78,119
279,1,2,1,0
280,4,0,0,3
281,43,10,35,12
282,0,1,1,0
283,1,0,0,0
284,2,10,0,8
285,0,0,0,2
286,2,3,9,3
287,0,0,0,0
288,0,0,1,0
289,28,13,17,24
290,9,9,2,2
