id,y_2011,y_2012,y_2013,y_2014
0,4,3,0,2
1,14,11,13,8
2,21,16,41,41
3,46,35,65,47
4,22,18,15,18
5,61,24,9,34
6,15,10,10,14
7,66,32,66,70
8,54,28,60,86
9,55,15,11,34
10,24,16,20,41
11,49,27,30,51
12,18,8,13,29
13,9,3,1,4
14,1,1,2,1
15,0,1,1,0
16,7,4,8,11
17,11,4,6,9
18,8,42,2,5
19,7,3,3,8
20,10,26,5,9
21,12,11,13,21
22,18,5,3,15
23,8,8,13,3
24,13,12,4,9
25,10,3,24,21
26,3,3,2,0
27,21,3,23,17
28,36,16,36,29
29,33,30,38,68
30,22,26,19,29
31,26,26,22,35
32,25,10,21,27
33,39,30,28,43
34,36,37,35,57
35,18,13,14,10
36,68,51,61,33
37,27,9,12,19
38,6,7,13,19
39,18,11,6,18
40,11,44,43,43
41,4,10,13,11
42,1,3,1,1
43,41,36,44,52
44,26,23,7,20
45,46,32,16,20
46,18,9,14,12
47,56,34,26,36
48,16,11,9,6
49,8,10,11,13
50,15,6,13,12
51,15,15,5,10
52,27,26,15,38
53,3,6,1,18
54,11,31,10,17
55,13,5,6,15
56,13,12,2,10
57,8,3,10,15
58,0,1,4,3
59,8,6,3,10
60,1,1,0,1
61,5,1,6,3
62,2,0,0,2
63,1,2,3,5
64,1,4,0,1
65,0,2,3,5
66,76,54,49,60
67,7,0,6,1
68,31,21,20,17
69,21,28,46,30
70,15,6,12,18
71,34,27,35,33
72,22,29,16,13
73,18,15,11,15
74,9,6,8,11
75,25,13,13,13
76,30,23,14,31
77,26,15,21,14
78,10,4,1,4
79,1,5,2,3
80,9,17,24,18
81,15,13,9,15
82,23,19,23,10
83,13,8,8,6
84,3,6,3,6
85,13,10,14,14
86,22,14,19,10
87,12,5,2,5
88,6,6,5,1
89,5,8,6,0
90,21,10,12,18
91,3,3,8,6
92,1,2,2,1
93,6,3,6,5
94,7,6,2,0
95,0,1,1,3
96,4,6,4,9
97,48,36,34,54
98,80,65,91,87
99,5,12,5,3
100,52,48,97,80
101,21,21,38,18
102,45,40,23,34
103,2,1,4,2
104,3,2,3,6
105,11,12,11,12
106,15,7,25,21
107,6,4,3,2
108,10,20,15,16
109,13,12,57,25
110,14,16,12,18
111,6,21,20,12
112,11,14,28,23
113,29,27,38,33
114,18,18,18,13
115,50,39,30,34
116,32,35,32,23
117,16,16,6,12
118,46,48,63,68
119,33,9,12,7
120,18,4,4,5
121,9,3,4,4
122,48,22,31,13
123,13,11,24,23
124,58,37,48,37
125,30,21,23,12
126,43,28,50,39
127,34,25,29,41
128,36,34,31,17
129,31,34,28,27
130,57,58,56,46
131,13,11,8,11
132,51,35,43,26
133,31,22,43,52
134,137,93,87,81
135,208,173,136,72
136,50,52,86,32
137,54,52,73,68
138,75,35,69,42
139,10,23,28,17
140,6,7,16,10
141,60,40,64,73
142,37,77,101,71
143,16,7,14,24
144,162,156,129,101
145,6,8,2,0
146,25,17,14,19
147,5,11,5,4
148,89,77,55,38
149,55,47,58,46
150,156,138,118,92
151,84,58,62,38
152,4,3,1,7
153,6,4,9,11
154,18,8,15,12
155,4,4,6,4
156,11,7,3,15
157,25,25,34,39
158,31,20,32,29
159,1,14,12,11
160,24,57,51,35
161,20,24,17,16
162,6,6,6,7
163,23,3,4,7
164,16,16,10,17
165,2,12,9,5
166,10,26,17,18
167,7,9,10,7
168,12,14,11,7
169,9,2,1,1
170,0,6,7,4
171,7,8,14,7
172,8,2,8,3
173,10,11,11,7
174,30,20,15,20
175,7,21,31,42
176,8,4,3,1
177,1,0,0,1
178,15,7,9,1
179,7,6,4,4
180,1,8,4,15
181,13,4,2,7
182,10,11,10,7
183,17,17,28,22
184,1,1,0,2
185,17,23,11,17
186,34,29,39,24
187,24,27,25,8
188,26,31,23,14
189,34,21,39,25
190,3,1,0,2
191,47,30,23,32
192,3,1,0,0
193,5,0,2,4
194,6,6,20,25
195,16,8,10,11
196,11,5,13,13
197,9,5,3,23
198,62,58,66,66
199,19,8,15,22
200,12,0,14,11
201,12,20,15,13
202,7,2,6,3
203,2,4,5,8
204,10,1,1,12
205,0,2,2,1
206,4,4,3,4
207,4,3,9,3
208,27,110,19,28
209,35,24,25,37
210,1,3,2,6
211,0,0,0,4
212,1,8,10,4
213,4,10,10,9
214,3,10,6,7
215,23,17,14,15
216,160,54,46,39
217,69,29,28,29
218,53,57,50,98
219,47,31,57,74
220,78,40,27,20
221,124,119,58,109
222,82,63,53,59
223,26,39,37,47
224,120,96,78,79
225,154,136,128,89
226,67,42,33,45
227,191,153,114,62
228,4,2,9,1
229,0,0,1,1
230,10,10,3,4
231,8,5,2,0
232,6,4,12,3
233,5,6,7,3
234,11,14,13,4
235,1,0,2,0
236,7,5,7,6
237,9,14,14,16
238,13,19,22,13
239,14,9,16,3
240,0,1,2,0
241,5,1,3,0
242,12,19,16,4
243,11,3,9,7
244,15,13,19,23
245,13,9,8,10
246,9,8,6,7
247,16,18,8,15
248,2,6,4,7
249,16,11,15,11
250,56,28,35,32
251,21,29,23,19
252,15,6,38,15
253,18,26,18,21
254,19,32,53,30
255,49,49,56,34
256,4,9,11,10
257,13,25,15,20
258,15,19,13,23
259,19,20,19,13
260,29,9,9,10
261,333,258,179,119
262,88,88,63,54
263,345,270,187,166
264,126,100,88,54
265,38,12,14,15
266,29,15,14,27
267,26,16,7,17
268,71,20,13,27
269,11,12,16,8
270,33,43,54,45
271,58,20,33,26
272,38,23,37,19
273,3,9,10,2
274,87,53,42,35
275,166,155,177,188
276,38,29,35,58
277,114,88,72,64
278,303,199,229,204
279,44,35,23,29
280,5,0,3,6
281,51,38,38,40
282,2,1,1,4
283,8,12,11,6
284,0,2,1,2
285,5,8,4,11
286,15,11,19,9
287,10,13,5,16
288,10,2,4,1
289,4,1,11,7
290,55,32,43,30
